Difficulty points,Length,Average gradient,Steepest 100 metres,Total ascent,Country,Region,name,url
68.0,1 km,7.9%,10.8%,77 m,Netherlands,South Limburg,Oude Huls from Simpelveld,https://climbfinder.com/en/climbs/oude-huls
847.0,7.5 km,8.7%,19.9%,656 m,Italy,Belluno,Tre Cime di Lavaredo from Misurina,https://climbfinder.com/en/climbs/tre-cime-di-lavaredo-misurina
455.0,11.8 km,5.9%,10.4%,694 m,France,Annecy,Col de la Colombière from Le Grand Bornand,https://climbfinder.com/en/climbs/col-de-la-colombiere
54.0,0.9 km,7.1%,11.9%,66 m,Belgium,Flemish Ardennes,Berendries,https://climbfinder.com/en/climbs/berendries
996.0,14 km,7.4%,15.9%,1038 m,Spain,Picos de Europa,Lagos de Covadonga from Cangas de Onis,https://climbfinder.com/en/climbs/lagos-de-covadonga-cangas-de-onis
212.0,1.9 km,9.1%,19.6%,173 m,Belgium,"Valleys of the Meuse, Sambre and Orneau",Triple Mur des Monty,https://climbfinder.com/en/climbs/triple-mur-de-monty
113.0,1.4 km,7.6%,15%,106 m,Belgium,Flemish Ardennes,Schapenberg via Riekestraat,https://climbfinder.com/en/climbs/schapenberg
181.0,8.3 km,4.2%,8.6%,347 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Col du Rosier via La Gleize,https://climbfinder.com/en/climbs/rosier-sud
790.0,8.1 km,9.6%,16.6%,776 m,Italy,Trento,Menador / Monte Rovere from Caldonazzo,https://climbfinder.com/en/climbs/menador-monte-rovere-caldonazzo
1322.0,26.2 km,6.7%,10.6%,1753 m,Italy,Sondrio,Passo di San Marco from Morbegno,https://climbfinder.com/en/climbs/passo-di-san-marco-morbegno
149.0,1.6 km,9.5%,13%,149 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Chambralles,https://climbfinder.com/en/climbs/chambralles
470.0,7.3 km,7.4%,13.3%,537 m,France,Annecy,Col de la Forclaz de Montmin from Menthon-Saint-Bernard,https://climbfinder.com/en/climbs/col-de-la-forclaz-de-montmin-menthon-saint-bernard
125.0,4.1 km,4.7%,10.3%,191 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Côte de Niaster,https://climbfinder.com/en/climbs/cote-de-niaster
1131.0,11.4 km,9.5%,15.7%,1084 m,France,Serre Ponçon,Mont Colombis from La Plaine,https://climbfinder.com/en/climbs/mont-colombis
81.0,0.6 km,11.1%,15.5%,65 m,Netherlands,South Limburg,Kromhagerweg,https://climbfinder.com/en/climbs/kromhagerweg
914.0,9.8 km,9.5%,14.7%,923 m,Italy,Belluno,Passo Giau,https://climbfinder.com/en/climbs/passo-giau-selva-di-cadore
933.0,17.5 km,6.9%,11.9%,1213 m,France,Bourg d'Oisans,Col du Galibier from Valloire,https://climbfinder.com/en/climbs/col-du-galibier-valloire
1164.0,34.3 km,5.5%,9.7%,1881 m,Italy,Aosta Valley,Col du Grand-Saint-Bernard,https://climbfinder.com/en/climbs/col-du-grand-saint-bernard-aoste
71.0,1.1 km,7.7%,13.2%,82 m,Belgium,Flemish Ardennes,Kanarieberg,https://climbfinder.com/en/climbs/kanarieberg
374.0,16.5 km,4.2%,8.8%,701 m,France,Territoire de Belfort,Ballon d’Alsace from Giromagny,https://climbfinder.com/en/climbs/ballon-d-alsace-giromagny
558.0,22.5 km,4.3%,9.6%,966 m,France,Hautes-Pyrénées,Hourquette d'Ancizan from Payolle,https://climbfinder.com/en/climbs/hourquette-d-ancizan-campan
287.0,5.3 km,7.1%,10.8%,375 m,Italy,Dolomites,Passo Sella from Plan de Gralba,https://climbfinder.com/en/climbs/passo-sella-plan-de-gralba
36.0,1.9 km,3.4%,8.3%,65 m,Netherlands,Rijk van Nijmegen,Zevenheuvelenweg from Groesbeek,https://climbfinder.com/en/climbs/zevenheuvelenweg
238.0,9.2 km,4.7%,9.1%,435 m,Spain,Serra de Tramuntana,Coll de sa Batalla from Caimari,https://climbfinder.com/en/climbs/coll-de-sa-batalla-caimari
79.0,2.3 km,4.2%,13.3%,99 m,Netherlands,South Limburg,Lange Bosweg,https://climbfinder.com/en/climbs/lange-bosweg
241.0,6.8 km,5.8%,10.9%,393 m,France,Upper Rhine,Col d'Oderen from Kruth,https://climbfinder.com/en/climbs/col-d-oderen
191.0,2.1 km,9.2%,13.5%,194 m,Belgium,Heart of the Ardennes,Roche-à-Frêne,https://climbfinder.com/en/climbs/roche-a-frene
1070.0,17.8 km,7.6%,12%,1360 m,Alps,Uri,Sustenpass from Wassen,https://climbfinder.com/en/climbs/sustenpass-wassen
29.0,0.9 km,5.1%,8.2%,44 m,Netherlands,Arnhem,Holleweg from Kasteel Doorwerth,https://climbfinder.com/en/climbs/holleweg-doorwerth
27.0,0.7 km,3.7%,10.1%,25 m,Netherlands,South Limburg,Maasberg from Kasteel Elsloo,https://climbfinder.com/en/climbs/maasberg
63.0,5.9 km,2.6%,9.4%,153 m,France,Vaucluse,Col de la Madeleine from Malaucene,https://climbfinder.com/en/climbs/col-de-la-madeleine-malaucene
223.0,2.9 km,8.2%,12.2%,235 m,France,Ardèche,Le Serre de Tourre,https://climbfinder.com/en/climbs/le-serre-de-tourre
161.0,0.9 km,13%,16.4%,119 m,Belgium,High Fens & East Cantons,Route de Saint-Vith,https://climbfinder.com/en/climbs/route-de-saint-vith
57.0,1 km,6.6%,12.6%,69 m,Germany,Cologne,Orsbach from Lemiers,https://climbfinder.com/en/climbs/orsbach
33.0,1.6 km,3.7%,8.2%,58 m,Germany,Rijk van Nijmegen,Vogelsang / Hohldörn,https://climbfinder.com/en/climbs/vogelzang-holdeurn
65.0,2.2 km,4.8%,10.3%,104 m,Belgium,Voer-Region,Magnebos,https://climbfinder.com/en/climbs/magnebos
761.0,16.5 km,6.4%,10.3%,1060 m,Alps,Valais,Furkapass,https://climbfinder.com/en/climbs/furkapass
944.0,17.1 km,7%,13.8%,1202 m,France,Pyrénées-Atlantiques,Col d'Aubisque,https://climbfinder.com/en/climbs/col-d-aubisque-laruns
1150.0,25.6 km,6.5%,11.5%,1659 m,France,Alpes-Maritimes,Cime de la Bonette from Saint-Étienne-de-Tinée,https://climbfinder.com/en/climbs/col-de-la-bonette-saint-etienne-de-tinee
1422.0,29.1 km,6.2%,14.1%,1806 m,Italy,Bolzano,Passo del Rombo,https://climbfinder.com/en/climbs/passo-del-rombo-st-leonhard-in-passeier
173.0,14.1 km,3%,7.8%,425 m,Belgium,High Fens & East Cantons,Baraque Michel,https://climbfinder.com/en/climbs/baraque-michel
1500.0,25.7 km,7.1%,12%,1818 m,Alps,Valais,Col du Sanetsch,https://climbfinder.com/en/climbs/col-du-sanetsch
46.0,1.9 km,4.6%,7.5%,86 m,Belgium,Pays des Collines,Bois de la Houppe,https://climbfinder.com/en/climbs/bois-de-la-houppe
666.0,23.8 km,4.6%,8.4%,1095 m,Italy,Sondrio,Passo di Foscagno from Bormio,https://climbfinder.com/en/climbs/passo-di-foscagno
1346.0,30.3 km,5.9%,13.5%,1799 m,Italy,Sondrio,Passo dello Spluga from Chiavenna,https://climbfinder.com/en/climbs/passo-dello-spluga-chiavenna
39.0,1.2 km,5.6%,7.6%,67 m,Netherlands,South Limburg,Slingerberg,https://climbfinder.com/en/climbs/slingerberg
642.0,14.6 km,5.6%,12.4%,817 m,France,Serre Ponçon,Col de Vars from Les Gleizolles,https://climbfinder.com/en/climbs/col-de-vars-les-gleizolles
17.0,0.7 km,4.8%,6.7%,31 m,Netherlands,Utrecht Hill Ridge,Grebbeberg from Wageningen,https://climbfinder.com/en/climbs/grebbeberg
171.0,11.8 km,3.7%,5.3%,442 m,France,Annecy,Col de Leschaux from Sévrier,https://climbfinder.com/en/climbs/col-de-leschaux-sevrier
522.0,22.5 km,4.6%,6.9%,1031 m,France,Ardèche,Col de Meyrand,https://climbfinder.com/en/climbs/col-de-meyrand
645.0,11.5 km,7.1%,11.9%,821 m,France,Serre Ponçon,Col des Champs from Colmars,https://climbfinder.com/en/climbs/col-des-champs-colmars
44.0,1.7 km,4.5%,10.6%,74 m,Netherlands,South Limburg,Koning van Spanje,https://climbfinder.com/en/climbs/koning-van-spanje
55.0,2.8 km,3.5%,10.5%,99 m,Netherlands,South Limburg,Epenerbaan,https://climbfinder.com/en/climbs/epenerbaan
21.0,0.6 km,5.2%,7.9%,34 m,Netherlands,Utrecht Hill Ridge,Koerheuvel / Paardenveld,https://climbfinder.com/en/climbs/koerheuvel
159.0,2.6 km,7.3%,13.5%,189 m,France,Briançon,Col de l'Échelle from Névache,https://climbfinder.com/en/climbs/col-de-l-echelle-nevache
37.0,0.4 km,9.7%,12.8%,34 m,Netherlands,Drenthe,Col du VAM via Ronde van Drenthepad,https://climbfinder.com/en/climbs/vam-berg
782.0,34.8 km,4%,11.7%,1398 m,France,Briançon,Col du Galibier from Briançon,https://climbfinder.com/en/climbs/col-du-galibier-briancon
457.0,8.6 km,6.8%,13.4%,585 m,France,Bourg d'Oisans,Col du Galibier from Col du Lautaret,https://climbfinder.com/en/climbs/col-du-galibier-lautaret
838.0,15.9 km,6.7%,11.5%,1071 m,Italy,Belluno,Passo Giau from Cortina d'Ampezzo,https://climbfinder.com/en/climbs/passo-giau-pocol
431.0,12.9 km,5.1%,12.7%,652 m,France,Hautes-Pyrénées,Col d'Aspin from Sainte Marie de Campan,https://climbfinder.com/en/climbs/col-d-aspin-sainte-marie-de-campan
688.0,12.3 km,6.4%,12.4%,794 m,Spain,Costa Brava,Rocacorba / Puigsou from Banyoles,https://climbfinder.com/en/climbs/rocacorba-banyoles
468.0,17.3 km,4.9%,8.3%,844 m,France,Annecy,Col des Aravis,https://climbfinder.com/en/climbs/col-des-aravis-thones
1007.0,18.8 km,6.8%,11%,1278 m,France,Ariège,Col de Pailhères from Ax-les-Thermes,https://climbfinder.com/en/climbs/col-de-pailheres
871.0,18.4 km,5.8%,13.8%,1067 m,France,Bourg d'Oisans,Alpe d'Huez via Villard-Reculas & Pas de la Confession,https://climbfinder.com/en/climbs/alpe-d-huez-villard-reculas
92.0,1.2 km,7.4%,18.2%,89 m,Belgium,Pays des Collines,Côte du Trieu,https://climbfinder.com/en/climbs/cote-de-trieu
138.0,1.2 km,7.2%,14.6%,88 m,Belgium,Pays des Collines,Mont Saint-Laurent from Saint-Sauveur,https://climbfinder.com/en/climbs/mont-saint-laurent
198.0,6.5 km,4.9%,12%,320 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Côte de Desnie,https://climbfinder.com/en/climbs/desnie
405.0,13.5 km,4.9%,8.6%,662 m,France,Vosges,Ballon de Servance,https://climbfinder.com/en/climbs/ballon-de-servance
25.0,0.8 km,5.3%,6.8%,43 m,Belgium,Leiestreek,Tiegemberg,https://climbfinder.com/en/climbs/tiegemberg
178.0,6.4 km,5%,8.8%,317 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",La Vecquée,https://climbfinder.com/en/climbs/vecquee
1607.0,12.5 km,11.1%,14.5%,1385 m,Alps,Tyrol,Rettenbachferner via Ötztaler Gletscherstrasse,https://climbfinder.com/en/climbs/rettenbachferner-otztaler-gletscherstrasse
152.0,3.6 km,5.7%,13.2%,205 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Haute Levée,https://climbfinder.com/en/climbs/haute-levee
216.0,8.2 km,4.9%,8.4%,403 m,France,Upper Rhine,Col de Bramont from Wildenstein,https://climbfinder.com/en/climbs/col-de-bramont
842.0,13.9 km,7.1%,14.1%,981 m,France,Bourg d'Oisans,Col du Solude,https://climbfinder.com/en/climbs/col-du-solude-la-paute
96.0,1.9 km,5.3%,7.5%,103 m,Belgium,"Valleys of the Meuse, Sambre and Orneau",Citadelle de Namur via Route Merveilleuse,https://climbfinder.com/en/climbs/route-merveilleuse-citadelle-de-namur
200.0,1.6 km,9.7%,20.4%,151 m,Belgium,Condroz - Famenne,Montagne de la Croix from Dinant,https://climbfinder.com/en/climbs/montagne-de-la-croix-dinant
600.0,9.1 km,7.7%,13.2%,705 m,Italy,Sondrio,Bormio 2000 from Bormio,https://climbfinder.com/en/climbs/bormio-2000
254.0,4.9 km,7%,9.6%,345 m,Spain,Mallorca,Puig de Sant Salvador from Felanitx,https://climbfinder.com/en/climbs/monasterio-san-salvador-felanitx
112.0,0.7 km,12.2%,19.2%,80 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Sur le Thier,https://climbfinder.com/en/climbs/sur-le-thier
438.0,11.1 km,5.8%,9.1%,638 m,France,Drôme,Col de la Chaudière from Bourdeaux,https://climbfinder.com/en/climbs/col-de-la-chaudiere-bourdeaux
50.0,2.1 km,4.4%,7.7%,94 m,Netherlands,South Limburg,Trintelerberg from Eys,https://climbfinder.com/en/climbs/trintelerberg
51.0,1.4 km,5.7%,8.4%,83 m,Netherlands,South Limburg,Eperheide from Epen,https://climbfinder.com/en/climbs/eperheide
177.0,1.5 km,10.5%,16.9%,157 m,Belgium,Condroz - Famenne,Gayolle,https://climbfinder.com/en/climbs/gayolle
55.0,0.5 km,7.7%,11.2%,38 m,Belgium,Druivenstreek,Bekestraat from Eizer,https://climbfinder.com/en/climbs/bekestraat-eizer
37.0,1 km,5%,11.9%,51 m,Netherlands,South Limburg,Kruisberg from Nijswiller,https://climbfinder.com/en/climbs/kruisberg-nijswiller
149.0,5.9 km,4.1%,12.5%,244 m,Germany,Cologne,Kesternich from Rurberg,https://climbfinder.com/en/climbs/kesternich-rurberg
431.0,8.8 km,5.8%,15.9%,512 m,France,Serre Ponçon,Col de Pontis from Savines-le-Lac,https://climbfinder.com/en/climbs/col-de-pontis-savines-le-lac
1028.0,22.1 km,5.7%,12.6%,1259 m,Alps,Tyrol,Timmelsjoch from Sölden,https://climbfinder.com/en/climbs/timmelsjoch-solden
98.0,1.7 km,6.7%,13.3%,114 m,Belgium,Flemish Ardennes,Kluisberg,https://climbfinder.com/en/climbs/kluisberg
1284.0,41 km,4.8%,11.6%,1983 m,Alps,Valais,Col du Grand-Saint-Bernard from Orsières,https://climbfinder.com/en/climbs/col-du-grand-saint-bernard-orsieres
1117.0,27.7 km,5.8%,13.1%,1595 m,Alps,Bern,Sustenpass,https://climbfinder.com/en/climbs/sustenpass-innertkirchen
661.0,10 km,7.9%,13%,783 m,France,Hautes-Pyrénées,Hourquette d'Ancizan,https://climbfinder.com/en/climbs/hourquette-d-ancizan
1275.0,19.2 km,7.5%,15.4%,1436 m,Italy,Bergamo,Passo di San Marco from Olmo al Brembo,https://climbfinder.com/en/climbs/passo-di-san-marco-olmo-al-brembo
894.0,20.3 km,6.3%,9.1%,1282 m,France,Serre Ponçon,Col de la Cayolle,https://climbfinder.com/en/climbs/col-de-la-cayolle-saint-martin
199.0,1.7 km,10.4%,14.1%,178 m,France,Briançon,Mur du Pallon,https://climbfinder.com/en/climbs/mur-de-pallon
519.0,3.8 km,11.2%,17.6%,430 m,Spain,Tenerife,Mirador de Cherfe from Masca,https://climbfinder.com/en/climbs/mirador-de-cherfe-masca
197.0,1.7 km,9.6%,17.1%,159 m,Belgium,Pays de Herve,Haute Folie via Rue des Gottes,https://climbfinder.com/en/climbs/haute-folie
154.0,1.6 km,9.5%,13.3%,155 m,Belgium,Haute Ardenne,Wanneranval,https://climbfinder.com/en/climbs/wanneranval
33.0,1.1 km,5.1%,7.5%,54 m,Germany,Montferland,Eltenberg from Elten,https://climbfinder.com/en/climbs/eltenberg
866.0,11.6 km,8%,18.4%,933 m,Italy,Bergamo,Passo di Valcava from San Gottardo,https://climbfinder.com/en/climbs/passo-di-valcava-san-gottardo
69.0,0.7 km,9.3%,12.8%,66 m,Belgium,Pajottenland,Bruine Put,https://climbfinder.com/en/climbs/bruine-put-dworp
146.0,1.4 km,9.8%,15.7%,134 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Côte d'Amermont,https://climbfinder.com/en/climbs/cote-d-amermont
31.0,3.8 km,2.5%,5.3%,95 m,France,Vaucluse,Gorges de la Nesque from Monieux,https://climbfinder.com/en/climbs/gorges-de-la-nesque-monieux
1101.0,19.7 km,6.8%,17.2%,1348 m,Italy,Lecco,Alpe Giumello from Bellano,https://climbfinder.com/en/climbs/alpe-giumello
85.0,3 km,4.2%,15.2%,126 m,Belgium,Pays de Herve,Côte du Bois de la Hees / Kinkenweg from Montzen,https://climbfinder.com/en/climbs/kinkenweg
422.0,9.4 km,6.1%,15.1%,576 m,France,Upper Rhine,Collet du Linge from Weiermatten,https://climbfinder.com/en/climbs/collet-du-linge-weiermatten
27.0,1.3 km,4%,8.1%,53 m,Germany,Niederrheinischer Höhenzug,Geldenberg from Frasselt,https://climbfinder.com/en/climbs/geldenberg-frasselt
716.0,13.9 km,6.7%,13.7%,928 m,France,Haute-Garonne,Col de Peyresourde,https://climbfinder.com/en/climbs/col-de-peyresourde-bagneres-de-luchon
985.0,10.9 km,7.9%,18.4%,864 m,France,Pyrénées-Atlantiques,Mont Artzamendi from Laxia,https://climbfinder.com/en/climbs/mont-artzamendi-laxia
591.0,11.2 km,7.1%,11.1%,794 m,Italy,Dolomites,Passo Sella from Canazei,https://climbfinder.com/en/climbs/passo-sella-canazei
1656.0,10.1 km,12.4%,19.5%,1256 m,Alps,Tyrol,Kitzbüheler Horn,https://climbfinder.com/en/climbs/kitzbuheler-horn
1044.0,22.5 km,6.1%,11.7%,1360 m,Alps,Grisons,Albulapass,https://climbfinder.com/en/climbs/albulapass
63.0,4.4 km,3.1%,7.6%,137 m,Belgium,Flemish Ardennes,Hotond via Hoogbergstraat,https://climbfinder.com/en/climbs/hotond
507.0,9 km,7%,13.3%,633 m,France,Bourg d'Oisans,Les Deux Alpes,https://climbfinder.com/en/climbs/les-deux-alpes
885.0,11.7 km,7%,13.2%,818 m,Alps,Slovenia,Vršič from Kranjska Gora,https://climbfinder.com/en/climbs/vrsic-kranjska-gora
499.0,12.9 km,5.2%,13%,673 m,France,Upper Rhine,Ballon d'Alsace from Sewen,https://climbfinder.com/en/climbs/ballon-d-alsace-sewen
445.0,9.7 km,6.6%,9.7%,639 m,France,Alpes-Maritimes,Col de Vence from Vence,https://climbfinder.com/en/climbs/col-de-vence
630.0,11.7 km,7%,10.6%,816 m,France,Annecy,Col de la Croix Fry from Thônes,https://climbfinder.com/en/climbs/col-de-la-croix-fry-thones
